"","vat","scale","density","time"
"1",1,"3L",0.59,1
"2",1,"3L",1.69,2
"3",1,"3L",2.21,3
"4",1,"3L",6,4
"5",1,"3L",11.8,5
"6",1,"3L",15.1,6
"7",1,"3L",7.8,7
"8",1,"3L",7.5,8
"9",2,"3L",0.8,1
"10",2,"3L",1.7,2
"11",2,"3L",2.19,3
"12",2,"3L",6.2,4
"13",2,"3L",12.4,5
"14",2,"3L",11,6
"15",2,"3L",11.4,7
"16",2,"3L",5,8
"17",3,"3L",1,1
"18",3,"3L",1.8,2
"19",3,"3L",2.18,3
"20",3,"3L",6.4,4
"21",3,"3L",13.7,5
"22",3,"3L",17.4,6
"23",3,"3L",9.1,7
"24",3,"3L",5.2,8
"25",4,"75L",0.61,1
"26",4,"75L",2.1,2
"27",4,"75L",4.2,3
"28",4,"75L",8,4
"29",4,"75L",10.1,5
"30",4,"75L",6,6
"31",4,"75L",2,7
"33",5,"75L",0.809,1
"34",5,"75L",1.9,2
"35",5,"75L",4.5,3
"36",5,"75L",6.6,4
"37",5,"75L",8.4,5
"38",5,"75L",9.2,6
"39",5,"75L",7.1,7
"41",6,"75L",0.79,1
"42",6,"75L",1.95,2
"43",6,"75L",3.9,3
"44",6,"75L",6.7,4
"45",6,"75L",7.2,5
"46",6,"75L",4.1,6
"47",6,"75L",0.2,7
"49",7,"300L",0.3,1
"50",7,"300L",0.4,2
"51",7,"300L",1.4,3
"52",7,"300L",2.79,4
"53",7,"300L",6,5
"54",7,"300L",9.9,6
"55",7,"300L",8.4,7
"56",7,"300L",2.8,8
"57",8,"300L",0.603,1
"58",8,"300L",1.4,2
"59",8,"300L",2.5,3
"60",8,"300L",4,4
"61",8,"300L",8.7,5
"62",8,"300L",9.5,6
"63",8,"300L",2.9,7
"64",8,"300L",0.209,8
"65",9,"300L",0.4,1
"66",9,"300L",0.8,2
"67",9,"300L",1.3,3
"68",9,"300L",2.8,4
"69",9,"300L",6.1,5
"70",9,"300L",9.4,6
"71",9,"300L",5.1,7
"72",9,"300L",0.21,8
