"customerid","gender","seniorcitizen","partner","dependents","tenure","phoneservice","multiplelines","internetservice","onlinesecurity","onlinebackup","deviceprotection","techsupport","streamingtv","streamingmovies","paperlessbilling","paymentmethod","monthlycharges","totalcharges","customer_churn"
"0946-CLJTI","Male",1,"Yes","No",58,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Yes","Electronic check",98.7,5812.6,"Yes"
"5356-RHIPP","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Yes","Mailed check",20.2,20.2,"Yes"
"2325-NBPZG","Female",0,"No","No",3,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Yes","Electronic check",74.55,233.65,"No"
"2519-ERQOJ","Male",1,"No","No",33,"No","No phone service","DSL","No","No","Yes","Yes","Yes","Yes","Yes","Electronic check",54.6,1803.7,"No"
"7577-SWIFR","Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Yes","Electronic check",89.25,89.25,"No"
"3923-CSIHK","Female",1,"Yes","No",50,"Yes","No","Fiber optic","No","No","No","No","No","No","Yes","Electronic check",71.05,3444.85,"Yes"
"6849-WLEYG","Male",0,"No","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",19.75,19.75,"Yes"
"9839-ETQOE","Male",0,"No","Yes",43,"No","No phone service","DSL","Yes","Yes","Yes","No","No","No","Yes","Electronic check",40.45,1912.85,"No"
"6402-ZFPPI","Female",1,"No","No",25,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Yes","Mailed check",102.8,2660.2,"Yes"
"6496-SLWHQ","Male",1,"No","No",3,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes","Electronic check",105,294.45,"Yes"
"6705-LNMDD","Male",0,"No","No",20,"Yes","No","DSL","No","No","No","Yes","No","No","No","Mailed check",50,1003.05,"No"
"5600-KTXFM","Male",0,"Yes","Yes",2,"Yes","No","Fiber optic","No","No","No","No","No","No","No","Mailed check",69.95,143.9,"No"
"8439-LTUGF","Male",0,"No","No",10,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Yes","Credit card (automatic)",20,198.6,"No"
"2933-FILNV","Female",0,"Yes","Yes",2,"No","No phone service","DSL","No","No","No","No","No","No","Yes","Mailed check",24.4,36.55,"Yes"
"3877-JRJIP","Male",0,"No","No",1,"Yes","Yes","DSL","No","No","No","No","Yes","No","Yes","Electronic check",59.85,59.85,"Yes"
"2436-QBZFP","Female",0,"Yes","Yes",22,"No","No phone service","DSL","No","Yes","No","No","Yes","No","No","Electronic check",39.2,849.9,"No"
"7401-RUBNK","Female",0,"Yes","No",18,"Yes","No","Fiber optic","Yes","No","No","No","No","No","No","Electronic check",74.8,1438.05,"No"
"3143-JQEGI","Female",0,"Yes","Yes",13,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","No","Electronic check",88.35,1222.8,"Yes"
"7176-WIONM","Female",0,"Yes","No",12,"No","No phone service","DSL","No","No","Yes","No","Yes","Yes","Yes","Bank transfer (automatic)",49.85,617.15,"No"
"3374-LXDEV","Female",0,"No","No",13,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No","No","Electronic check",89.4,1132.35,"Yes"
"6927-WTFIV","Male",1,"No","No",20,"Yes","No","Fiber optic","No","No","No","No","No","No","No","Credit card (automatic)",71.3,1389.2,"Yes"
"5429-LWCMV","Female",0,"No","No",12,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Yes","Electronic check",89.15,1057.55,"No"
"9693-XMUOB","Male",1,"Yes","No",59,"No","No phone service","DSL","No","Yes","No","No","Yes","Yes","Yes","Electronic check",50.25,2997.45,"No"
"1577-HKTFG","Female",0,"Yes","No",30,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Bank transfer (automatic)",19.65,655.85,"Yes"
"0979-PHULV","Male",0,"Yes","Yes",69,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Yes","Credit card (automatic)",99.45,7007.6,"Yes"
"0114-PEGZZ","Female",0,"No","No",33,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","No","Electronic check",107.55,3645.5,"No"
"7175-NTIXE","Female",0,"No","No",25,"Yes","No","DSL","Yes","No","No","Yes","Yes","Yes","Yes","Credit card (automatic)",76.15,1992.95,"No"
