"","customerid","gender","seniorcitizen","partner","dependents","tenure","phoneservice","multiplelines","internetservice","onlinesecurity","onlinebackup","deviceprotection","techsupport","streamingtv","streamingmovies","contract","paperlessbilling","paymentmethod","monthlycharges","totalcharges","churn","status"
"1","7590-VHVEG","Female",0,"Yes","No",1,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",29.85,29.85,"No",0
"2","5575-GNVDE","Male",0,"No","No",34,"Yes","No","DSL","Yes","No","Yes","No","No","No","One year","No","Mailed check",56.95,1889.5,"No",0
"7","1452-KIOVK","Male",0,"No","Yes",22,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",89.1,1949.4,"No",0
"9","7892-POOKP","Female",0,"Yes","No",28,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.8,3046.05,"Yes",1
"10","6388-TABGU","Male",0,"No","Yes",62,"Yes","No","DSL","Yes","Yes","No","No","No","No","One year","No","Bank transfer (automatic)",56.15,3487.95,"No",0
"11","9763-GRSKD","Male",0,"Yes","Yes",13,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",49.95,587.45,"No",0
"12","7469-LKBCI","Male",0,"No","No",16,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",18.95,326.8,"No",0
"13","8091-TTVAX","Male",0,"Yes","No",58,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",100.35,5681.1,"No",0
"14","0280-XJGEX","Male",0,"No","No",49,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.7,5036.3,"Yes",1
"15","5129-JLPIS","Male",0,"No","No",25,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",105.5,2686.05,"No",0
"19","4190-MFLUW","Female",0,"Yes","Yes",10,"Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Credit card (automatic)",55.2,528.35,"Yes",1
"20","4183-MYFRB","Female",0,"No","No",21,"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",90.05,1862.9,"No",0
"23","1066-JKSGK","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.15,20.15,"Yes",1
"24","3638-WEABW","Female",0,"Yes","No",58,"Yes","Yes","DSL","No","Yes","No","Yes","No","No","Two year","Yes","Credit card (automatic)",59.9,3505.1,"No",0
"25","6322-HRPFA","Male",0,"Yes","Yes",49,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Credit card (automatic)",59.6,2970.3,"No",0
