"n","cs","mage","private","multiple","pprivate","pmultiple","ln"
1946,903,32.2,1946,60,1,0.0308324768756423,7.57353126274595
8482,3199,33.5,2003,777,0.236147135109644,0.0916057533600566,9.04570155003454
9142,2738,32.6,1994,894,0.218114198206082,0.0977904178516736,9.12063445889169
8799,3318,34.7,1712,711,0.194567564495965,0.0808046368905557,9.08239335764556
8788,2833,29.2,1436,631,0.163404642694584,0.0718024578971325,9.0811424335045
2059,308,35.1,239,67,0.116075764934434,0.0325400679941719,7.62997570702779
1698,291,29.9,162,58,0.0954063604240283,0.0341578327444052,7.43720636687129
1907,286,31.7,206,73,0.108023072889355,0.038280020975354,7.55328660560042
1949,338,36.8,155,59,0.0795279630579784,0.030271934325295,7.57507169950756
4334,742,31.9,474,159,0.109367789570835,0.0366866635902169,8.3742461820963
2889,379,34.3,292,159,0.101073035652475,0.0550363447559709,7.96866570046623
2179,384,30.2,181,90,0.0830656264341441,0.0413033501606241,7.68662133494462
3677,650,31,322,146,0.0875713897198803,0.0397062822953495,8.20985248130127
2246,332,35.3,182,66,0.0810329474621549,0.0293855743544078,7.71690613529839
5473,800,33.6,615,176,0.112369815457701,0.032157865887082,8.60758219114392
2188,369,30.6,249,77,0.113802559414991,0.0351919561243144,7.69074316354187
1861,258,35.1,138,64,0.0741536808167652,0.0343901128425578,7.52886925664225
1184,162,33.7,110,64,0.0929054054054054,0.0540540540540541,7.07665381544395
2598,451,29.6,199,110,0.0765973826020015,0.0423402617397998,7.86249719723055
2423,354,36.4,259,100,0.106892282294676,0.0412711514651259,7.79276172081653
