Batch,Month,Monthc,i,Y
1,0,0,1,101.2
1,0,0,2,103.3
1,0,0,3,103.3
1,0,0,4,102.1
1,0,0,5,104.4
1,0,0,6,102.4
1,1,1,1,98.8
1,1,1,2,99.4
1,1,1,3,99.7
1,1,1,4,99.5
1,3,3,1,98.4
1,3,3,2,99
1,3,3,3,97.3
1,3,3,4,99.8
1,6,6,1,101.5
1,6,6,2,100.2
1,6,6,3,101.7
1,6,6,4,102.7
1,9,9,1,96.3
1,9,9,2,97.2
1,9,9,3,97.2
1,9,9,4,96.3
1,12,12,1,97.3
1,12,12,2,97.9
1,12,12,3,96.8
1,12,12,4,97.7
1,12,12,5,97.7
1,12,12,6,96.7
2,0,0,1,102.6
2,0,0,2,102.7
2,0,0,3,102.4
2,0,0,4,102.1
2,0,0,5,102.9
2,0,0,6,102.6
2,1,1,1,99.1
2,1,1,2,99
2,1,1,3,99.9
2,1,1,4,100.6
2,3,3,1,105.7
2,3,3,2,103.3
2,3,3,3,103.4
2,3,3,4,104
2,6,6,1,101.3
2,6,6,2,101.5
2,6,6,3,100.9
2,6,6,4,101.4
2,9,9,1,94.1
2,9,9,2,96.5
2,9,9,3,97.2
2,9,9,4,95.6
2,12,12,1,93.1
2,12,12,2,92.8
2,12,12,3,95.4
2,12,12,4,92.2
2,12,12,5,92.2
2,12,12,6,93
3,0,0,1,105.1
3,0,0,2,103.9
3,0,0,3,106.1
3,0,0,4,104.1
3,0,0,5,103.7
3,0,0,6,104.6
3,1,1,1,102.2
3,1,1,2,102
3,1,1,3,100.8
3,1,1,4,99.8
3,3,3,1,101.2
3,3,3,2,101.8
3,3,3,3,100.8
3,3,3,4,102.6
3,6,6,1,101.1
3,6,6,2,102
3,6,6,3,100.1
3,6,6,4,100.2
3,9,9,1,100.9
3,9,9,2,99.5
3,9,9,3,102.2
3,9,9,4,100.8
3,12,12,1,97.8
3,12,12,2,98.3
3,12,12,3,96.9
3,12,12,4,98.4
3,12,12,5,96.9
3,12,12,6,96.5
