"","gender","passed","mathgrd","CAO_choice","address","lc_points","lc_points"
"6",0,0,"80+","1","2",315,315
"7",0,0,">20","1","1",270,270
"35",0,1,"50-60","1","2",370,370
"37",0,1,"20-30","2","2",295,295
"41",0,1,"","#NULL!","1",NA,NA
"44",0,0,"20-30","1","1",260,260
"56",0,1,"35-45","1","1",280,280
"57",0,1,"35-45","1","1",315,315
"64",0,1,"20-30","1","1",245,245
"78",0,0,"50-60","1","3",440,440
"99",0,1,"35-45","1","3",415,415
"105",0,1,"20-30","3","1",195,195
"118",0,0,"50-60","1","2",330,330
"130",0,0,">20","2","3",285,285
"178",0,0,"50-60","1","2",325,325
"179",0,0,"35-45","1","2",350,350
"198",0,1,"50-60","1","1",410,410
"207",0,1,"35-45","1","1",335,335
"209",0,1,"20-30","1","2",385,385
"228",0,1,"50-60","1","2",350,350
"262",0,1,"35-45","2","2",315,315
"265",0,1,"20-30","2","1",215,215
"290",0,0,">20","3","1",335,335
"301",0,1,"35-45","1","2",275,275
"314",0,1,"20-30","1","2",305,305
"326",0,0,"50-60","1","1",155,155
"341",0,1,"50-60","1","3",410,410
"342",0,1,"35-45","1","2",360,360
"374",0,1,">20","4","2",195,195
"383",0,1,">20","2","1",155,155
"390",0,1,"20-30","2","1",130,130
"413",0,0,"35-45","1","2",275,275
"443",0,0,"20-30","4","1",215,215
"450",0,1,"20-30","2","3",250,250
"460",0,1,"50-60","2","1",265,265
"461",0,1,"20-30","3","3",245,245
"464",0,1,"35-45","1","2",305,305
"505",0,1,"65-75","1","2",410,410
"509",0,1,"65-75","1","1",450,450
"514",0,1,"65-75","1","3",435,435
"524",0,1,"80+","1","3",475,475
"533",0,1,"65-75","2","3",380,380
"564",0,0,"","#NULL!","#NULL!",NA,NA
"295",1,1,"35-45","1","2",295,295
"492",1,0,"80+","1","2",440,440
"606",1,1,"","4","1",NA,NA
"556",1,1,"65-75","4","1",405,405
"479",1,0,"65-75","2","2",420,420
"490",1,0,"80+","4","2",425,425
"584",1,0,"50-60","3","3",315,315
"349",1,0,"20-30","4","1",185,185
"474",1,0,"","#NULL!","2",NA,NA
"437",1,0,"","1","1",NA,NA
"196",1,1,"50-60","1","3",340,340
"128",1,0,"50-60","3","1",280,280
"236",1,0,">20","2","1",150,150
"343",1,1,"50-60","1","2",345,345
"510",1,1,"50-60","1","2",395,395
"238",1,0,">20","4","1",205,205
"601",1,0,">20","4","1",170,170
"362",1,0,">20","4","2",225,225
"398",1,0,"50-60","1","1",335,335
"48",1,0,">20","4","1",200,200
"145",1,1,"20-30","4","2",280,280
"359",1,0,"20-30","3","2",230,230
"394",1,0,"50-60","1","3",410,410
"380",1,1,"20-30","1","1",205,205
