"id","gender","overall6","address2","lcpoints","lcmaths","mathlev1","lcphysic","havephy","lcchem","havechem","lcappmth","haveappm","lcenr","haveenr","lcpch","havepch","lctdr","havetdr","caochc2","core1","core2","core3","award"
1,1,0,2,340,60,2,NA,0,NA,0,NA,0,NA,0,NA,0,55,1,1,"maths","mech","physics",1
2,1,0,2,295,50,1,NA,0,NA,0,NA,0,NA,0,NA,0,50,1,1,"maths","mech","physics",1
3,1,0,1,280,20,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,4,"maths","mech","physics",1
4,1,0,2,305,45,1,NA,0,NA,0,NA,0,85,1,NA,0,NA,0,3,"maths","mech","physics",1
5,1,0,3,325,35,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","physics",1
6,0,0,2,315,80,2,55,1,50,1,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","physics",1
7,0,0,1,270,5,1,NA,0,NA,0,NA,0,65,1,NA,0,NA,0,1,"maths","mech","physics",1
8,1,0,2,340,35,1,NA,0,NA,0,NA,0,75,1,NA,0,50,1,3,"maths","mech","physics",1
9,1,0,2,320,35,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","physics",1
10,1,0,1,280,20,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","physics",1
11,1,0,1,320,55,2,60,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","physics",1
12,1,0,3,305,40,1,40,1,NA,0,NA,0,80,1,NA,0,50,1,2,"maths","mech","physics",1
13,1,0,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","physics",1
14,1,0,3,300,45,1,45,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","physics",1
15,1,0,2,290,20,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","physics",1
16,1,1,2,355,60,2,50,1,NA,0,NA,0,NA,0,NA,0,75,1,1,"maths","mech","physics",1
17,1,1,2,330,45,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","physics",1
18,1,1,2,385,45,1,70,1,80,1,NA,0,75,1,NA,0,NA,0,1,"maths","mech","physics",1
19,1,1,1,385,60,1,60,1,NA,0,NA,0,NA,0,NA,0,60,1,1,"maths","mech","physics",1
20,1,1,2,305,40,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","physics",1
